메시지,label
야 어디냐 ? 피시방 가기로 했잖아 왜 안나오느데 ? 뭐 지금 씻는다고 ?? 진짜 디질래 ?? 그래 알겠다 빨리 나와라 죽기 전에 오늘 그럼 니가 밥 사,0
야 어디야 ㅋㅋㅋ 아니 엄마가 피자 사오래 누나가 좀 사와 올때 아이스크림도 좀 사고 왜 가깝잖아 피자집이랑 슈퍼랑 알겠다 엄마한테 다 말할게 알겠어 누나 계좌로 송금할게,0
선배 어디세요 ?? 아 정말요 ?? 진짜요? 제 아이디 보내드릴게요 비밀번호에요 이건 형 오늘 오세요? 아 정말요 알바 열심히하세요 여기있어요 ,0
우리 어디로 갈까 ? 제주도 거기 맛있다던데 어때 아 좋아 그거랑 고기국수도 좀 먹자 아 엄마가 이것도 사오라고 해서 그것도 사야돼 어때?? 좋다 아 거기는 아빠가 사오래 ㅋㅋ,0
이모 이모네 댁이 여기 맞나요 ?? 아 이모부랑 같이 있어요 ?? 아 그럼 저 여기 인천터미널에 있어요 알겠어요 오면 전화 부탁드려요 ,0
형수님 혹시 오늘 잠깐 댁좀 방문하려고 하는데 계신지요 아 다른게 아니라 형님께서 오라고 하셔서 가봐야 할거 같아서요 알겠어요 아 저녁은 먹고가서 괜찮습니다 알겠어요 ㅋㅋㅋ,0
너 엘리멘탈 봤냐? 아 진짜 그거 엄청 재밌대 ㅋㅋㅋ 같이 보실? 우리 엄마 보시고 우셨다네 아빠랑 정말 명작인가봐 아 오케이 알겠다,0
야 너 어디냐 ? 진짜 화나게 하지마 지금 바빠 죽겠는데 오라고 했으면 와야지 넌 진짜 죽었다 아 바쁘다고 말했을텐데 ?? 오 케이 야 그럼 스타벅스 앞으로 와 알겠다잉,0
오늘 떡볶이어떄요 ? 이모 좋아요 이모 떡볶이 잘 만드시니까 괜찮을거 같아요 아 정말요 아 거기로 송금하셨다고요 ?? 알겠어요 순대랑 튀김이랑 사갈게요 넵 좋아요 아마 엄마도 같이 있을거에요 넵,0
선생님 오늘 몇 시에요 오시나요 ? 아 저 오늘 학교애서 늦게 끝날거 같아요 나머지 학습 때문에 숙제요 ?? 당연히했죠 아 알겠어요 엄마한테는 비밀인거 아시죠 ?? 넵?!? 아빠한테도 말한다고요 ?? 안돼요ㅠㅠ,0
야 나 거기 사거리 앞에 있어 거기로 와라 오케이 알겠다 아 거기 오빠가 맛있대 우리 오빠 많이 먹어서 맛집 잘알아 아 오케이 그럼 이번에는 내가 결제함 다음에는 니가사라 ,0
여기로 보내면 된다 ㅋㅋ 아 고맙다 아 나 계정이 정지 당해서 안될듯 아마도 아 그러면 너가 여기로 보내 아이디랑 비밀번호 알려줄게 그래그래 나 그리고 치킨 먹고싶어,0
엄마 나 치킨 먹고 싶어서 혹시 입금해줄수있어?? 아니 알바비가 안들어와서 아 맞아요 거기 그 계좌로 보내주시면 됩니다 ㅎㅎ 감사합니다 알겠어요 !! 반찬도 보내주세요,0
안녕하신지요 저는 한방한의원 원장 최드래곤수이올시다 그게 아니라 바빠? 안 바쁘면 술 한잔하지요 좋아요 거기로 오시면 될거같아요 아 형수님 걱정은 하지마러 오케이,0
오늘 불금인데 놀아 보자고 근데 니 새키 왜 나한테 돈 안갚고 가방 쳐 사냐 ?? 야 빨랑 돈 갚아 여기로 보내라 계좌번호 보냈잖아 뭔 비밀번호야 진짜 알겠다,0
형님 오늘 괜찮은 상품이 들어왔는데 보고가실래요 ?? 아 입금 해주시면 제가 보내드릴게요 아 알겠습니다 감사합니다 형님 ~₩,0
야 여기 대박이다 여기 진짜 죽이지? 링크 보내줄테니까 한번 봐봐 좋다 좋아 여기서 놀면 진짜 대박인데 다 꽁짜네 야 그러면 여기서 강아지도 데리고 갈수있네 나 강아지 싫어하는데 링크 봤어 아 저기 위에 있잖아,0
나 오늘 배고픈데 여기가고 싶어 링크 보냈으니까 한번봐봐 오빠 다른곳도 있는데 한번 볼래 ?? 아 진짜 저기 계좌번호 나왔네 저기로 입금하면 될거 같은데 알겠어 오빵 ,0
아 너 성심당 가봤냐 ? 거기 대전사람은 안간다더라 거기 말고 성심당 쁘띠크인가 케이크 파는데가 더 맛있어 맞아맞아 거기 선입금 되나 ? 아 알겠어 내가 계좌로 보내줄게,0
야 너 어디야 나 개피곤해 진짜 안 보내면 너 주김 여기 좋더라 링크 보내줌 여기에 올라온 금액이랑 보면 될듯 꽤 괜찮네 좋아좋아 야 나 카카오톡 안되니까 문자로 해라 ,0
야 문자 봄 ?? 우리 맨시티 내한 갈수있음 좋았어 그럼여기서 잘까 ? 아 좋아 맨시티 홀란드 기대된다 내가 결제할테니까 돈 보내라 여기 계좌로 보내 좋아써 ,0
야 나 최용수 실물봄 대박이던데 지짜 개 멋있어 아 맞아 거기 가려고 이많음 썻어 금액은 아마 홈페이지에 있어 그거 한번 봐봐 와 그보다 최용수 실물 할머니 같음,0
야 오늘 형수님 집에 계시냐 ? 아 없다고 그럼 갈게 이거 사 들고 간다 엄마의 파이토치 딥러닝 특강 어떰 ? 이모가 추천해줌 여기 이거 3만원일걸 오캐이 그럼 거기로 보냄,0
사바리 학습 루프 먼저 구성하세요 딥러닝 텐초면 오케이 좋지 좋아 할머니와 순대국밥 진짜 맛있어 원 할머니 보쌈 원 엄마 보쌈은 없냐 ?,0
암 쏘 소리 바래 러뷰 다 거짓말 진짜 아빠가 맨날 불렀음 우릭 같은 응애들은 모르는데 그치 근데 그것보다 너 그 오빠들 나오는거 브이앱 봄?,0
잔스포츠 가방 좋더라 우리 누나가 추천해줌 좋아 잔스포츠 진짜 많이 들어가고 좋지 생활법률 해봤냐? 우리 엄마가 추천해줌 우리 아빠도 추천함 할아버지도 추천함 진짜 카카오톡을 송금 부탁,0
오늘 짜장면에는 짬뽕이지 짜짱면 좋지 좋아 크롬도 좋아 아 거기 좋대 근데 거기 계좌이체 안될거 좋아 그냥 가자 나 현금 1000만원 있음 ㅋㅋ 그걸 밑냐 ?,0
내가 마 느그 사장이랑 싸우나도 짜장면도 먹고 얼마나 재밌게 놀은거 너네 엄마도 알아 임마 느그 아빠랑 같이 사우나에서 때도 밀고 얼마나 재밌게 놀았는데 좋아 좋아 클럽 가보자고 ,0
오늘 클럽간다 헬스클럽 우리 형님이 운동은 꾸준한게 중요하다고 했다 꾸준히 해야지 커지다 뭐든 너도 아빠처럼 커지고 싶징않니 ?? 아들아 오야지!!!,0
모두들 감사합니다 왜냐하면 저는 이제 전역해야하기 때문이죠 사파리도 알레스카도 시베리아도 광안리도 해운대도 정말 좋았습니다 잊지못할 여정이였읍니다 그러면 여기로 입금 부탁드립니다,0
야 뭐하냐 ? 오늘 삼겹살에 소주나 한잔하자 아 천천히 입금해 내 계좌 알잖아 ㅋㅋ 돈이 있다가도 없고 없다가도 있는거지 안그래?? 그럼 거기로 와라 소주먹게 아 제수씨한테는 이 형님이 말할,0
시끄럽다 그 뭐냐 그 뭐냐좀 그만해라 진짜 그 뭐냐 그걸로 개맞을래? 진짜 그 뭐냐 그거 있잖아 엄마 아빠 이모 삼촌 레츠고,0
오늘은 집에서 닭가슴살을 먹을거에요 왜냐하면 저는 근육이 많아지고 싶거든요 근육이 많아져서 저한테 입금해주세요 입금해주면 더 근육이 많아질수있어요 오늘은 가슴운동을 할게용,0
형 오늘 집에 아빠 계셔? 아 알겠어 아빠가 옛날 통닭 사오라고 했는데 내가 돈이 없네 아 사장님꼐 말씀드려놓으면 형이 이체한다고 알겠어 그럼 형도 먹을거지? 세마리 사갈게 형이 입금해,0
오늘은 어린이날 우리들 세상 그래서 아빠가 저한테 레고 사주셨죠 레고는 6만원이가 그러던데 너무 비싸요 그래서 저는 항상 선물 받아요 증말이죠 진짜 피곤합니다 노가다,0
어머니 아버지 아빠 엄마 이모 삼촌 저 오늘 돌잔치 있어요 돌도 안된 애기가 말하니까 재밌죠 그래요 재밌어요 그러니까 저에게 용돈을 각 5만원씩만,0
오늘 주식 한 500만원 들어갔거든 그러니까 돈이 없어요 그래서 오늘 밥은 못 먹을거 같아 오늘 잡애서 간장에 밥 비벼먹어야지 돈이 없다 고추장에 고추 찍어먹으면 맛있어,0
