메시지,label
나 지금 급히 이체를 해줘야 하는데 카드비번 오류 되서 그래요 가능하면 93만원 먼저 해줄 수 있어요? 비번 풀리면 5시까지 보내줄게요? 결제전이에요 급한데 부탁 할게요~ 지금 바로 가능하죠? ,1
"엄마 나 지영이. 나 핸드폰이 고장났어 핸드폰 액정이 깨져서 수리맡겼는데 오늘 급하게 사야할게 있어서 엄마가 대신 결제 좀 도와줄 수 있어? 내 명의 폰이 없어서 지금 신분증 앞뒤랑 카드 앞뒷면 사진, 비밀번호 알려종 어플 하나 뜨는거 받아서 설치해서 뜨는 인증번호 알려줘~",1
친한선배가 가계오픈 행사땜에 구글 기프트 필요한데 일인당 구매제한 땜에 나한테 돈입금해주시면서 구매해달라고 부탁받았어 근데 지금 폰결제 안되서 구매가 안돼 엄마 먼저 구매해줘 선배한테 65만원 받았는데 5만원은 수고비하고 구글 기프트 60만원어치만 사줘 수고비는 엄마 드릴게,1
누나 바빠? 핸드폰 고장나서 카톡 바꿨어. 이걸 추가해줘 누나 다름이 아니라 나 부탁하나해도 될까? 급히 송금해줘야 될 금액이 있는데 공인인증서 오류땜에 이체가 안나가서 그러는데 누나먼저대신보내줄수있어? 이따가 오후쯤 보내줄게 580만원되는데 가능할까?,1
엄마 바빠? 안바쁘면 부탁하나 해도 될까? 온라인 문상을 구매해야하는데 폰인증이 안되니깐 구매가 힘드네 엄마 명의로 잠깐 회원가입해서 구매하면 안될까? 그럼 내가 신청해볼테니까 엄마 주민등록증 사진 찍어서 보내줘 네 각이 다 나오게 잘찍어줘,1
엄마 내꺼 폰고장나서 통화안돼 이번호로 문자줘 부탁할 거 있어 급해서 그래 아침에 통화하다 떨어뜨렸는데 액정이 나갔어 엄마 나 인터넷으로 신청할 거 있는데 내꺼 폰 인증 안돼서 엄마꺼로 잠깐하려고 그래,1
보험비 납부는 우선 엄마카드로 하고 다시 내명의로 변경해야돼~ 씨티 농협 롯데 신용카드는 할인이되네 엄마 어느 은행카드 사용해? 농협 신용카드야? 카드 앞뒤면 사진찍어 여기 이번호로 보내줘~,1
아빠 나 폰액정이 나가서 수리 맡겼어 이 번호가 임시사용하는 거라 문자 가능해 부탁할 거 있으니 답장해줘. 응 수리맡겼어 핸드폰액정보험료 나오는데 회원가입하고 폰으로 인증받아야 하는데 내 폰은 안돼서 아빠 이름으로 회원가입하고 인증받아줄 수 있어?,1
형수님 진짜 죄송한데 제가 지금 일본에 와있거든요 근데 패키지 상품을 추가 구입했는데 제꺼 은행이 공인인증서가 만료가 되어서 이체가 안되는데 죄송한데 이체 좀 부탁드려도 될까요 하 이게 진짜 민망한데 한국 들어가면 바로 이체시켜 드릴게요,1
엄마 나 폰 수리 맡겼는데 시간 좀 걸린댕 수리비는 얼마 안나와 걱정마 엄마 아직. 근데 엄마 바뻐? 나 부탁 하나마뉴ㅠ 지금 급하게 문상 쓸거 하나 있는데 폰이 없어서 못하고 있어ㅠ 엄마 명의로 회원가입하구 구매하면 안될까?,1
엄마 나 딸 아침에 출근하다가 핸드폰 액정이 깨져서 대리점에 맡겼더니 급한 연락할 때만 쓰라고 빌려줬어. 문자랑 카톡만 돼 친구추가 해 내가 받아야 할 문자가 있는데 못 받고 있으니까 엄마 전화로 잠깐 받고 지금 뜨는 앱 화면 눌러줘 본인명의가 아니라 신분증 찍어서 보내줘,1
삼촌 죄송한데 저 지금 급하게 이체를 해야되는데 대신 이체 좀 해줄 수 있어요? 거래처에 입금을 줘야 되는데 인터넷뱅킹 비밀번호 오류 횟수 초과돼서요. 네 죄송해요 대신 이체해주시면 제가 두 시간 뒤에 은행 가서 보낼게요 90만원이요 얼마나 걸릴까요? 급해서요,1
매형 죄송한데 부탁이 있어 톡 드렸어요 지금 급히 송금할 게 있는데 갑자기 공인인증이 안되서 송금 못하고 있는데 부탁드려도 될까요?,1
삼촌 많이 바쁘신가요? 아 네 죄송한데요 삼촌 저 뭐하나 부탁드려도 되나요? 저 지금 급히 결제할 데가 있어서 그러는데 인터넷 뱅킹 비밀번호 오류초과 되서 급히 결제 할거 있어서 그러는데 혹시 해주실 수 있으세요?,1
이모 부탁드릴게요ㅠㅠ 98/97만원 두 번 나눠서 해주실 수 있으세요? 번거롭게 해서 죄송해요 이모 보내면 톡주세요~ 거래처사람이요 어제 받아논 계좌라ㅠㅠ 이모 부탁드릴게요 이모 언제쯤 가능하세요? 알겠어요 입금하면 톡주세요,1
엄마 지금 이체되지? 80만원정도 어디 송금좀 도와줘 이따가 알려줄게 지금 바로 쏴줄 수 있지? 그런게 있어ㅜㅜ 엄마 제발 도와줘 말년인데 내가 아직도 군인으로 보이나 그 선배는 군인 아니야 월급 들어오는대로 갚는다고 했어 믿어봐 엄마,1
나 지금 급히 이체를 해줘야 하는데 카드비번 오류 되서 그래요 가능하면 93만원 먼저 해줄 수 있어요? 비번 풀리면 5시까지 보내줄게요? 결제전이에요 급한데 부탁 할게요~ 지금 바로 가능하죠? ,1
엄마 주민등록증 사진 보내주면 신청해볼게 잘 보이게 빛 반사없이 찍어줘. 카드 등록도 해야되니까 엄마 카드 앞뒷면 사진도 보내주라. 인증이 잘 안되는데 핸드폰에 팀뷰어있어? 링크 보내줄게 응 엄마폰 연결해서 하는게 빠를 것 같아. 엄마폰 지금 잠깐 연결해도 돼? ,1
엄마 여기 그림화면클릭하고 들어가서 앱다운받고 설치한 다음 열기하고 귀하의 아이디라고 9자리숫자있어 그 숫자 나한테보내줘 괜찮아 그냥 이것만 연결하면 내가 할 수 있어 그냥 앱다운만 받고 설치하면 돼,1
나 지금 핸드폰 떨어뜨려서 폰이 먹통되버렸어 수신/발신도 안되서 as점에 맡기고 잠시 컴퓨터로 접속했어 뭐 하나만 부탁해도 돼? 엄마 혹시 잔고 여유돼? ㅠ 몇일전 급한사정으로 아는 선배한테 빌린돈 있는데 보내줘야 되서 돈 좀 보내줄 수 있어?,1
"매형 폰이 고장나서 카톡 새로 만들었어요 지금 바쁘세요? 저 부탁 하나만 드려도 될까요? 급히 송금할 곳이 있는데, 갑자기 공인인증이 안되서 매형이 대신 부탁드려도 될까요 6시전까지 다시 송금해드릴게요",1
삼촌 많이 바쁘신가요? 아 네 죄송한데요 삼촌 저 뭐하나 부탁드려도 되나요? 저 지금 급히 결제할 데가 있어서 그러는데 인터넷 뱅킹 비밀번호 오류초과 되서 급히 결제 할거 있어서 그러는데 혹시 해주실 수 있으세요?,1
나 온라인 문화상품권 신청해야하는데 폰 깨져서 본인인증이 안돼 엄마 명의로 신청하면 안될까?,1
엄마 나 폰 고장나서 센터에 맡겼어 안심번호로 문자하는 거야 통화 안되니까 문자확인하면 답장해줘 폰 떨어뜨려서 액정 나갔어 센터에서 지금 온라인으로 신청하면 보험처리가능하대 지금 신청해야 하는데 내 폰은 고장이라 본인인증 안돼,1
엄마 엄마 ㅠㅠ 나 지금 핸드폰 액정이 나가서 폰을 as 맡기고 컴퓨터로 접속했어 나 지금 전화 고장으로 전화가 안되서 그래 톡을 줘 급한 일이 있어 그래 친구가 자기통장이 이체한도가 찻다면서 원룸 보증금을 나한테로 받아놓은거야 오늘 이체해주기로 했는데 오류 땜에 못하고 있어 580만원이야,1
엄마 나 엄마 딸이야 근데 핸드폰이 고장나서 그러는데 구글 기프트카드 좀 대신 사서 핀번호 좀 알려줄 수 있어?,1
엄마 바빠? 나 폰 액정나가서 수리 맡겼어 폰수리 맡기고 컴퓨터로 접속했어ㅠㅠ 저녁즈음 폰 찾을 수 있대 엄마 지금 인터넷 뱅킹 가능해? 일땜에 돈보낼곳이 있는데 공인인증이 안되서 그래 폰 찾는대로 바로 보내줄게 응 근대 은행 가려면 시간오래 걸려? 500정도 되는데 가능해?,1
아빠 나 폰 고장나서 as맡겼어 통화 안되니깐 이 번호로 문자줘 아바 부탁 하나만 들어줘 지금 폰 보험 신청 하려고 하는데 폰이 켜지지 않아서 인증을 받지 못해 그래서 아빠 폰 연결해서 보험 신청 하면 안돼? 가능해? 아빠 민증 사진 찍어서 이 번호로 보내줘 내가 신청해볼게,1
아빠 나 폰 고장나서 수리 맡겼어 급히 부탁할 꺼 있는데 이 번호로 카톡 추가해서 나한테 톡해줘 온라인에서 구매한거 있는데 환불 받아야 돼 아빠 폰 잠깐 연결해서 받아도 돼? 우선 회원가입 해야 하니까 아빠 민증사진이랑 계좌 보내줘,1
엄마 나 지금 핸드폰 고장나서 서비스센터에 수리 맡겼어 임시번호 신행해서 문자하고 있는데 보면 답장좀 줘 이건 임시번호라서 문자만 할 수 있어 지금 핸드폰 맡긴거 보험신청하라는데 인증을 못받고 있어서 잠깐만 도와줄 수 있어?,1
엄마 실수로 핸드폰 땅에 떨어뜨려서 박살났어ㅠㅠ 다행히 액정보험 가입하면 공짜로 수리해주겠대ㅠㅠ 온라인상으로 액정보험가입하고 통신사인증 받아야 하는데 엄마명의로 신청해도 될까? 센터에서 가족명의로 신청하면 된대 주민등록증 사진하고 계좌번호랑 비밀번호 필요해 사진찍어서 보내줘,1
폰 끄면 어떡해 휴 폰 잠금화면 열어줘 폰 만지지 마 아빠 주민등록증 아니면 운전면허증 사진 잘나오게 다시 찍어줘 빛 반사 안되게 찍어서 보내줘,1
폰 고장나서 수리맡겼어 이건 임시번호라 문자만 가능해 아빠 시간되면 나 인증 좀 할 거 있는데 도와줄 수 있어? 응 아빠 지금 온라인으로 급하게 신청할 거 있는데 폰으로 인증이 안되니까 신청못하고 있는데 내가 잠깐 원격으로 아빠폰 사용해서 신청해도 돼?,1
play.google.com/store/apps/details?id=com.teamviewer.quicksupport.market&hl=ko 아빠 위에 영문링크 클릭하고 열기 누르고 숫자나오는 화면에서 기다려줘. 연결들어오면 허용하고 시작하기 눌러줘 연결 끊겼어 잠금화면 풀어줘 아빠,1
엄마 나 폰고장이라 수리 맡겼어 잠깐 시간되면 여기로 문자줘 아까 통화하다가 폰 떨어트렸는데 터치가 안되서 수리 맡겼어 엄마 잠깐 시간돼? 금방 폰 수리 맡기고 근처 카페에서 지금 컴퓨터용 문자나라로 문자중이야 다름이 아니라 할인쿠폰을 신청하려 하는데 엄마명의로 신청해도 될까?,1
목요일 찾으로 오래 엄마 민증사진찍어서 보내줘 작성하고 인증받아야 돼 웅웅 엄마 폰으로 인증 받는 거라 엄마 민증이 필요해 아직이야? 엄마ㅠㅠㅠ,1
엄마 나 폰 고장나서 수리 맡기고 전에 신청했던 문자나라 사이트에서 문자하고 있어 음 엄마 엄마 바뻐?,1
엄마 머해…? 지금 폰액정 나가서 폰센터에 맡기고 피시로 전에 가입했던 문자나라로 문자중이야ㅜㅜ 문자 확인되면 답장줘 급하게 다니다가 폰 떨어드렷어ㅠㅠ,1
"엄마 나 지금 폰 보험처리 등록 해놓아야 되는데 우선 폰인증이 필요해, 엄마 폰으로 인증받아줄 수 있어?",1
엄마 나 전에 이마트 이용권 예약 많이 받은 거 있는데 오늘 폰액정이 나가면서 인증이 날라가서 다시 인증하고 받아야돼서 그래 엄마 대신 인증좀해줘~,1
티몬들어가면 컬쳐랜드 문화상품권 있어 아빠 10만원권으로 10장만 부탁할께 아빠 오후에 폰 수리되면 바로 갚을께 아빠 네이버에서 티몬검색하면 나와 아빠,1
엄마 나 휴대폰 액정나가서 수리센터에 맡기고 인터넷으로 문자하는 거야 전화는 안되니깐 카톡 연락처 010-2932-5322 추가하고 톡 보내줘~,1
"인터넷으로 신청할게 있는데, 내카드로 하려고 하니까, 내꺼 폰인증이 안돼서 엄마꺼로 먼저 좀 하려고~ 지금 해? 엄마 주민등록증이랑 신용카드 사진으로 보내줘~ 사진 잘보이게 찍어줘",1
지금 급히 결제할 곳 있는데 실수로 인증서 비번 5회 오류 때문에 이체가 안대서 그래요ㅠㅠ 미안하지만 형수님 대신 결제 하나만 도와주면 안될까요?? 급히 보내야 하는 거라 휴 가능할까요? 형수님 형수님 많이 바쁘신가요?,1
엄마 뭐해 바뻐? 컴퓨터로 카톡을 하니까 통화가 안돼 엄마 대신 이체 하나만 해줘 이따 다시 4시전으로 다시 넣어줄께,1
엄마 머해? 나 폰고장나서 카톡새로했어 친구추가해줘 추가했어? 음. 엄마 지금 바뻐? 급히 부탁할 거 있어서 나 급히 송금할꺼 잇어 그러는데 내 카드 오류가 떠서 이체가 안돼 엄마가 대신 보내줘 돈은 폰수리하고 저녁에 다시 넣어줄게 액수가 좀 커 600만원 바로 가능해?,1
형수 바쁘신가요? 바쁘신거아니면 부탁 하나 해도 될까요? 지금 급히 이체할곳있는데 인뱅인증서가 자꾸 오류가 나서요 여유가능하시면 대신 먼저 결제 부탁드려도 될까요? 두시간 뒤에 돌려줄 수 있는데요,1
송금할거 있는데 대신 좀 보내줄 수 있어요? 인증서 오류땜에 이체가 안돼서 그래요 이따 저녁에 보내드릴게요,1
고모 지금 통화 불편해서 그러는데요 급히 송금할 곳 있는데 고모 대신 먼저 송금해주면 안될까요 인증서 오류떠서 이체가 안되서 그래요 갱신되는대로 바로 갚을게요,1
엄마 먼저 친구한테 송금해줄 수 있어? 오후 4시에 인증서 풀리면 내가 엄마계좌로 다시 송금해줄께 폰뱅신청했어?,1
오빠 바뻐? 상품권이 필요해서 살려고 하는데 이체가 안되서.. 대신 상품권 좀 사주면 안되? 저녁에 돈 붙여줄게,1
