지역본부,소속,선명,역이름,년,월,일,시,분,요일,역/열차,장소,세부장소,성별,나이,음주,세부내용,부상상태
강원,정동진관리역,영동선,정동진역,16,4,28,12,46,목,기타,객실,객실,여,76,무,2호차 객실내에서 좌석 뒷열(2열)에서 앞열(1열)로 이동중 발을 헛디뎌서 뒤로 넘어지면서 좌석 팔걸이부분에 뒷머리를 부딪힘,경상
강원,춘양관리역,영동선,철암역,16,4,16,13,35,토,기타,역광장,광장,여,64,무,분천역 광장 잔디보호를 위한 경계선지지 말뚝의 돌출부위에 바지가 걸려 약간의 훼손이 발생,대물
강원,도계역,영동선,도계역,16,6,26,16,0,일,역,기타,건널목,여,63,무,도계 구내 전두건널목 통과중 차량하부가 걸려 차량 소음기 파손,대물
강원,영업처,영동선,영업처(VOC접수),16,11,11,,,금,무궁화,객실,객실,여,22,무,객실 내 방열판 접촉 화상,경상
강원,동해,영동선,동해역,16,11,12,5,30,토,무궁화,객차화장실,화장실 ,여,80,무,고객화장실 사용 중 손가락 문틈에 끼임,경상
경북,영주열차승무,영동선,영주열차,16,1,5,14 ,18,수,무궁화,객실,열차안,여,7,무,방열판에 손바닥 접촉 화상입음,경상
경북,강원권물류사업단,영동선,철암역,16,2,9,11 ,20,화,무궁화,객실,열차안,여,74,무,객실이동중 차량의 흔들림으로 넘어져 다침,경상
경북,점촌관리역,경북선,상주역,16,2,10,11 ,42,수,무궁화,객실,열차안,여,16,무,승차중 객차 발판에서 넘어지면서 무릎 다침,경상
경북,정동진관리역,영동선,정동진역,16,2,19,13 ,10,금,무궁화,객실,열차안,여,17,무,2호차 화장실에서 발열판에 허벅지 화상,경상
경북,영주열차승무,경부선,영주열차,16,2,17,12 ,30,수,무궁화,객실,열차안,여,77,무,출입문에 손가락이 끼어 엄지손가락이 찢어짐,경상
경북,제천관리역,중앙선,제천역,16,4,9,9 ,40,토,무궁화,객실,열차안,남,62,무,2호차 화장실문에 왼쪽손가락이 끼여 찢어짐,경상
경북,영주관리역,중앙선,영주역,16,5,21,15 ,50,토,무궁화,객실,승강장(하차시),여,68,무,영주역 도착하여 고객하차중에 승강문 오동작으로 오른쪽 발의 정강이 부분 끼임,경상
경북,영주열차승무,영동선,영주열차,16,5,3,20 ,55,금,무궁화,객실,열차안,여,69,무,미니카페 객차 출입문 틈에 왼손 새끼손락락 끼임,경상
경북,태백관리역,영동선,철암역,16,8,2,14 ,55,화,새마을,객실,열차안,여,40,무,객차창문이 급격하게 낙하하면서 그 충격으로 유리창이 파손되면서 유리파편이 튀면서 열상 입음,경상
경북,태백관리역,영동선,철암역,16,8,2,14 ,55,화,새마을,객실,열차안,남,6,무,객차창문이 급격하게 낙하하면서 그 충격으로 유리창이 파손되면서 유리파편이 튀면서 열상 입음,경상
경북,춘양관리역,영동선,승부역,16,8,9,12 ,45,화,역,역광장,승부역 #1 홈,여,56,무,승부역 주변개를 피하려다 객차발판에서 넘어지면서 허리부분 및 기타 타박상 ,경상
경북,제천관리역,중앙선,제천역,16,9,2,11 ,25,금,무궁화,객실,열차안,여,,무,객차천정 냉방기에서 응결수가 떨어져 좌석시트 및 고객옷이 젖어 세탁비 지급요구 및 항의,경상
경북,부전관리역,중앙선,부전역,16,9,10,16 ,20,토,무궁화,객실,열차안,여,63,무,의자에 붙어있던 껌을 인지하지 못하고 여행후에 확인하고 승무원에게 신고 및 보상요구,경상
경북,원주관리역,중앙선,원주역,16,9,28,19 ,59,수,새마을,객실,열차안,여,70,무,승차해서 이동중 다른사람 발에 걸려 넘어져 왼쪽가슴이 아픔을 호소,경상
경북,안동관리역,중앙선,안동역,16,10,12,12 ,21,수,역,맞이방,,여,"77
71",무,서로 승차권 운임을 계산을 할려고 하다가 서로 부딪혀 넘어짐,경상
경북,청량리관리역,중앙선,청량리열차승무,16,10,23,19 ,20,일,무궁화,객실,열차안,여,32,무,방열판에 맨살이 접촉되어 화상을 입음,경상
경북,영주열차승무,중앙선,영주열차승무,16,12,8,13 ,1,목,무궁화,객실,열차안,남 ,57,무,고객이 열차에 승차하려다가 승강문에 끼이는것을 보고 조치하였으나 팔과 어깨에 통증호소,경상
광주,목포관리역,호남선,일로역,16,1,30,17 ,17,금,역,계단,지하도계단,여,80,무,#1405열차 하차 고객이 지하도계단에서 굴러 부상을 당한것을 목격하고 병원이송,경상
광주,목포관리역,호남선,목포역,16,1,31,23 ,55,월,역,선로,역구내선로,남,52,무,#521열차이용 고객이 잠이 들어 미처내리지 못하여 검수선쪽에서 걸어나오다 선로변 바닥에 걸쳐진 쇠사슬에 걸려 넘어져 오른팔 골절상을 당함,경상
광주,목포관리역,호남선,목포역,16,2,26,17 ,22,월,역,게이트,나가는곳입구,남,68,음주,#516열차 승차고객이 입장도중 비틀거리며 뒤로 넘어져 머리를 바닥에 부딪혀 출혈이 있어 119수배 후 병원이송 치료,경상
광주,광주송정관리역,경전선,화순역,16,3,3,8 ,0,화,역,맞이방,매표창구앞,남,61,음주,#1442열차를 타기위해 화순역방문하여 기차표를 구입하고 돌아서면서 쓰러져서(술에 취해있었음) 119수배하여 화순 중앙병원으로 이송함,경상
광주,광주관리역,호남선,장성역,16,3,27,10 ,50,금,역,타는곳,2번 홈,남,65,무,#1401열차 승차권 구입 후 타는 곳 2번홈에서 열차대기중 넘어져서 잠시 의식을 잃어 119수배후 장성병원 이송,경상
광주,목포관리역,호남선,목포역,16,3,30,11 ,10,월,역,타는곳,2번 홈,여,66,무,#1404열차 승차를 위해 2번 타는 곳에서 걸어가는 도중 홈 바닥면의 함몰된 부분에 걸려서 넘어져 이마에 상처를 입음,경상
광주,목포관리역,호남선,목포역,16,4,2,18 ,30,목,역,이동통로,선상통로,여,38,무,#526열차이용을 위해 이동중 선상통로에서 미끄러저 넘어졌으나 열차시간이 임박하여 그냥 승차후 다음날 발이 붓고 걸을 수 없다고 연락이 와서 병원치료안내를 설명드림,경상
광주,목포관리역,호남선,목포역,16,4,4,13 ,15,토,역,E/S,3번홈 E/S,여,72,무,#513열차를 이용한 고객이 3번홈 타는곳에서 E/S이용해 올라오던 중 중심을 잃고 넘어져 머리가 부어올라 마중나온 아들이 병원으로 이송함,경상
광주,광주송정관리역,호남선,광주송정역,16,4,14,7 ,5,화,역,E/S,E/S 11호기,여,79,무,광주송정역 E/S 11호기에 승차하자 마자 뒤로 넘어지는 걸 역무원이 발견 상태확인 결과 외상은 없으나 손목통증 호소 및 놀라서 몸을 심하게 떨어 119수배 후 병원이송 조치함,경상
광주,광주송정관리역,호남선,광주송정역,16,4,24,10 ,50,금,역,E/S,E/S 10호기,여,66,무,"광주송정역 E/S 10호기에 승차하여 내려오다 뒤로 넘어져 확인결과 외상은 없었으나, 일단 광명역 도착후 병원치료 예정이라고 함",경상
광주,목포관리역,호남선,목포역,16,4,24,11 ,17,금,역,E/S,E/S 1호기,여,78,무,최삼순 고객이 양손에 짐을 들고 E/S를 올라가다가 중심을 잃고 넘어져 허리와 다리통증을 호소하였으며 용산도착후 상황을 봐서 치료한다고 함,경상
광주,목포관리역,호남선,목포역,16,4,24,11 ,17,금,역,E/S,E/S 1호기,여,62,무,최삼순 고객이 양손에 짐을 들고 E/S를 올라가다가 중심을 잃고 넘어져 뒤에 있던 박금순 고객이 같이 넘어져 어깨통증을 호소하였고 추후 상황을 봐서 치료한다고 함,경상
광주,광주송정관리역,호남선,광주송정역,16,4,28,9 ,50,화,역,E/S,E/S 11호기,여,57,무,E/S 11호기에서 최연심 고객이 올라가던중 뒤로 넘어져 허리와 어깨통증을 호소함 서울상경후 치료예정,경상
광주,광주송정관리역,호남선,능주역,16,4,4,8 ,47,토,역,타는곳,타는곳,여,67,무,#4610관광열차(광주~진해)가 능주역 도착후 정차위치를 맞추기 위해 이동중 승차를 기다리던 고객이 열차가 출발하는 것으로 착각 승차하려다 넘어짐,경상
광주,목포관리역,호남선,평택역,16,5,22,15 ,8,금,역,E/S,E/S(상행),남,71,무,#1408열차 이용을 위해 E/S이용중 옆쪽 학생들에 밀려 뒤로 넘어짐,경상
광주,광주송정관리역,호남선,광주송정역,16,5,23,13 ,56,토,역,E/S,E/S13호기,여,88,무,E/S 13호기에 승차한 순간 앞 고객이 넘어지며 정양례 할머니를 덮치며 넘어져 바닥에 뒷머리를 부딪혀 후두부와 허리통증을 호소하여 119수배 병원이송함,경상
광주,광주관리역,광주선,광주역,16,7,4,20 ,25,토,역,E/S,E/S 1호기,남,65,무,#1973열차 하차 후 광주역 E/S호기 상행 승차중 중심을 잃고 넘어져 등쪽부위 찰과상 역 응급조치후 병원방문 예정,경상
광주,목포관리역,호남선,일로역,16,7,16,17 ,35,목,역,계단,지하도계단,남,88,무,#1405 하차하여 일로역 지하도 계단을 내려오는 중 넘어져 머리를 다침 응급조치 후 병원이송함,경상
광주,목포관리역,호남선,목포역,16,7,24,19 ,17,금,역,E/S,E/S 1호기,여,72,무,#1410 1번 E/S 이동중 넘어짐(안내직원이 E/S위쪽이 이상하여 확인하였으나 대답하는 사람이 없었으나 열차이용중 여객전무에게 사고사실을 신고하여 접수함),경상
광주,광주송정관리역,호남선,광주송정역,16,8,28,19 ,50,월,역,맞이방,맞이방,남,69,무,맞이방 이동중 입식 안내판 지지대에 걸려 넘어져 무릅에 타박상을 입어 병원진료,중상
광주,광주송정관리역,호남선,광주송정역,16,9,14,14 ,50,월,역,E/S,E/S,여,72,무,#518열차를 이용하기 위해 지하철 입구쪽 에스컬레이터를 이용 3층으로 이동중 무거운 짐때문에 뒤로 넘어져 목부위 및 팔 등을 다침,경상
광주,목포관리역,호남선,목포역,16,9,15,11 ,20,화,역,E/S,E/S,여,65,무,"#1404를 이용하기 위해 목포역 선상통로 E/S를 이용중 앞쪽 할머니가 넘어짐에 따라 같이 넘어져 이마,무릅,팔 등에 타박상을 입어 병원을 방문하겠다고 함",경상
광주,광주송정관리역,호남선,광주송정역,16,9,27,12 ,25,일,역,맞이방,맞이방화장실옆,여,66,무,열차를 승차하기 위해 맞이방에 들어오던 중 화장실옆 입식 안내판 지지대에 발이 걸려 넘어져 타박상을 입고 가슴에 통증이 있다며 병원진료를 하겠다고 함,경상
광주,광주송정관리역,호남선,광주송정역,16,10,11,15 ,58,수,역,E/S,E/S,여,81,무,#557열차 이용후 광주송정역 E/S이용중 넘어져 귀가하였으나 다음날 허리등에 통증이 심해 병원치료,경상
광주,나주관리역,호남선,나주역,16,10,19,22 ,17,월,역,계단,지하도계단,여,69,무,#529열차 이용 후 나주역 계단이용중 다리에 힘이 풀려 계단에서 굴러 넘어짐,경상
광주,광주송정관리역,호남선,광주송정역,16,11,26,12 ,53,목,역,E/S,E/S,여,91,무,#553열차 이용후 e/s이동중 넘어져 이마와 눈주위에 찰과상을 입고 e/s에 머리를 부딪힘,경상
광주,목포관리역,호남선,영등포역,16,12,2,11 ,10,수,역,계단,계단,여,80,무,목포역에서 #1404열차 승차를 위해 목포역 계단으로 내려오던중 넘어져 이마에 찰과상을 입음,경상
광주,목포관리역,호남선,목포역,16,12,22,14 ,45,화,역,E/S,E/S 1호기,여,72,무,목포역에서 #518타기위해 1번E/S 이동중 중심을 못잡고 쓰러져 손등을 찢김 ,경상
광주,광주송정관리역,호남선,광주송정역,16,12,25,21 ,15,금,역,E/S,주출입E/S,여,70,음주,광주송정역 주출입구 E/S이용중 중심을 잃고 넘어져 뒷머리 출혈 및 치아3개가 빠져 응급치료가 필요하여 119연락 및 보호자에게 연락하여 사실알림 광주송정역 연결통로를 통해 신덕마을로 이동중이었던 것으로 추정됨,중상
광주,광주송정관리역,호남선,광주송정역,16,12,29,17 ,33,수,역,E/S,부출입E/S,남,65,음주,광주송정역에서 #1104열차를 이용하기 위해 지하철방향 E/S이용중 넘어져 얼굴을 다쳐 119도착 응급처지 술이 많이 취함,경상
대구본부,경산관리역,경부선,경산역,16,12,29,16 ,11,화,역,E/S,E/S 1호기,여,55,무,경산역 E/S 1호기 이용중 앞에 노인고객이 손잡이옆 난간을 붙잡고 중심을 잃고 넘어지는것을 막기위해 도와주다가 갑자기 힘을 많이 써서인지 두통 및 어지러움 호소,경상
대구본부,영남권물류사업단,경부선,약목역,16,1,1,7 ,30,금,역,이동통로,역사앞 타는곳 이동통로,남,57,무,#1202열차 하차후 타는곳에서 역사쪽으로 구내건널목 이동중 넘어짐(오른쪽 팔과 다리부분 찰과상),경상
대구본부,대구관리역,경부선,왜관역,16,1,2,12 ,47,토,역,이동통로,지하통로 계단,여,85,무,#1352열차 하차후 지하통로 남쪽계단을 이용중 중심을 잃고 넘어짐(머리 찰과상),경상
대구본부,경산관리역,경부선,경산역,16,1,3,20 ,45,일,역,E/S,E/S,남,70,음주,경산역에서 친구환송후 E/S 이용중 숙취로 몸의 균형을 잃고 넘어짐(우측머리 찰과상),경상
대구본부,대구열차승무사업소,경부선,수원역,16,1,4,10 ,20,월,무궁화,객실,#1204열차 7호차 20호석 선반위,남,37,무,#1204열차 7호차 20호석 선반위 캐리어가방이 운행중 7호차 24호석 고객 머리위에 떨어짐(목통증),경상
대구본부,대구관리역,경부선,대구역,16,1,12,18 ,15,화,역,계단,지하통로 계단,남,75,무,#1215열차 승차를 위해 왜관역 지하통로 계단을 이용중 중심을 잃고 넘어짐(왼쪽 눈위 2cm 찰과상),경상
대구본부,대구열차승무사업소,경북선,구미역,16,1,13,9 ,43,수,무궁화,객차승강문,객차승강문,여,74,무,#1822열차 하차하던중 객차승강문에 끼임(오른쪽 발가락 찰과장),경상
대구본부,신경주관리역,동해선,경주역,16,1,15,8 ,0,금,역,계단,지하통로 계단,여,70,무,"#1774열차 하차후 지하통로 계단을 올라오다가 발을 헛디뎌 넘어짐(이마 3cm, 오른쪽 눈썹 1cm 찰과상)",경상
대구본부,신경주관리역,경부선,신경주역,16,1,16,9 ,10,토,역,E/S,E/S,여,83,무,#242여차 승차를 위해 E/S를 타고 올라가다가 끝부분에서 발을 때지 않고 있다가 넘어짐(이마 1cm 찰과상),경상
대구본부,대구열차승무사업소,경부선,서울역,16,1,27,10 ,45,수,무궁화,객실,#1274열차 7호차 49호석 의자,여,37,무,#1274열차 7호차 49호석 이용중 옷에 껌이 묻음(세탁비 청구),대물
대구본부,동대구관리역,경부선,동대구역,16,2,22,13 ,45,월,역,E/S,11번 승강장 E/S 내려가는곳,남,60,음주,#140열차 승차를 위해 11번승강장 E/S 내려가던중 중심을 잃고 넘어짐(이마 4cm 찰과상),경상
대구본부,동대구관리역,경부선,동대구역,16,2,25,13 ,10,목,역,E/S,13번 승강장 E/S 내려가는곳,여,85,무,#1214열차 승차를 위해 13번 승강장 E/S 내려가던중 중심을 잃고 넘어짐(왼쪽 얼굴 타박상),경상
대구본부,대구관리역,경부선,대구역,16,2,25,17 ,9,목,역,E/S,6번 승강장 E/S 올라오는곳,여,70,무,#1213열차 승차를 위해 E/S를 내려갔다가 열차가 이미 출발하여 승차권 반환을 위해 E/S 올라오는 도중 넘어짐(머리부분 및 오른쪽 팔 찰과상),경상
대구본부,대구관리역,경부선,대구역,16,3,3,18 ,0,목,역,기타,1번 승강장 북쪽 구내,여,83,무,#1824열차 하차후 1번승강장 북쪽 구내에서 3번선쪽으로 선로무단횡단하다가 넘어짐(머리부분 찰과상),경상
대구본부,신경주관리역,동해선,경주역,16,3,4,11 ,18,금,역,계단,지하통로 계단,여,89,무,#1778열차 하차후 지하통로 계단을 내려가다가 발을 헛디뎌 넘어짐(엉덩이 및 왼쪽 검지 손가락 찰과상),경상
대구본부,대구열차승무사업소,동해선,태화강역,16,3,4,10 ,50,금,무궁화,객차화장실,3호차 남자화장실 출입문,남,54,무,#1777열차 3호차 남자 소변기 화장실 출입문에 끼임(오른손 가운데 손가락 찰과상),경상
대구본부,동대구관리역,경부선,서울역,16,3,5,22 ,50,토,역,화장실,남자화장실,남,55,무,동대구역 화장실 이용중 물청소로 바닥이 미끄러워 넘어짐(허리와 다리 찰과상),경상
대구본부,구미관리역,경부선,대구역,16,3,7,8 ,23,월,역,타는곳,2번 승강장,여,50,무,#1821열차 승차를 위해 2번 승강장 3호차 위치에서 대기중 승강장에 들어오는 #1821열차에서 돌멩이로 추정되는 것이 왼쪽 종아리를 타격했다고 신고함(왼쪽 종아리 찰과상),경상
대구본부,대구열차승무사업소,경부선,경산역,16,3,8,16 ,25,화,무궁화,객실출입문,1호차 객실 출입문,남,34,무,"#1909열차를 동대구역에서 승차하여 1호차 객실로 들어가던중 객실출입문에 끼임(오른쪽 얼굴 찰과상, 안경 구부러짐)",경상
대구본부,대구열차승무사업소,경부선,구포역,16,3,11,10 ,26,금,무궁화,객실출입문,1호차 객실 출입문,여,71,무,#1821열차 이용중 화장실을 가기위해 1호차 앞쪽 출입문을 열고 나가다가 출입문틈에 왼쪽 중지 손가락이 끼임(왼쪽 중지 손가락 찰과상),경상
대구본부,동대구관리역,경부선,동대구역,16,3,12,12 ,40,토,역,화장실,구관 화장실 앞,남,46,무,동대구역 구관 화장실 앞 가방이동 통로에서 미끄러져 넘어짐,경상
대구본부,대구열차승무사업소,동해선,수영역,16,3,17,11 ,15,목,무궁화,객실,4호차 55호석,여,2,무,#1775열차 4호차 55호석 남창역에서 승차하여 이용중 유아(박수현)가 갑자기 울어서 확인해 보니 화상을 입음(오른쪽 무릎과 발목사이 화상),경상
대구본부,동대구관리역,경부선,동대구역,16,3,20,10 ,50,일,역,맞이방,신관화장실 앞 맞이방,여,45,무,동대구역 신관 화장실 이용후 나오던 중 맞이방 바닥에 떨어져 있던 아이스크림류에 미끄러져 넘어짐(왼쪽 허리 및 대퇴부 찰과상),경상 
대구본부,대구열차승무사업소,경부선,구포역,16,3,23,23 ,40,수,무궁화,객차승강문,6호차 승강문,여,72,무,#1221열차 6호차에서 내리던중 갑자기 객차 승강문이 닫히면서 왼쪽발이 끼임(왼쪽발 찰과상),경상
대구본부,포항관리역,동해선,포항역,16,3,31,12 ,40,목,역,E/S,E/S 3호기,여,74,무,#810열차 승차를 위해 급하게 이동중 캐리어와 함께 넘어짐(무릎 및 발목 찰과상),경상
대구본부,대구열차승무사업소,경부선,영등포역,16,4,3,10 ,55,일,무궁화,객차승강문,4호차 객차승강문,여,31,무,#1204열차 영등포역에서 4호차 객차승강문 하차중 끼임(발목 찰과상),경상
대구본부,대구열차승무사업소,경부선,부산역,16,4,4,10 ,0,월,무궁화,객차화장실,2호차 객차화장실 출입문,여,55,무,#1201열차 대구역에서 승차후 2호차 화장실 이용한 후 화장실 문을 열고 나오다 문틈에 오른쪽 손가락이 끼임(오른쪽 중지 손가락 찰과상),경상
대구본부,대구열차승무사업소,경부선,대전역,16,4,10,17 ,46,일,새마을,객실출입문,6호차 객실출입문,여,51,무,#1011열차 6호차 이용중 객실출입문에 오른쪽 팔이 끼임(오른쪽 팔 찰과상),경상
대구본부,영남권물류사업단,경부선,약목역,16,4,14,9 ,4,목,역,화장실,약목역 고객화장실 앞 계단,여,65,무,#1206열차 승차권을 소지한 고객이 열차에 승차하지 않고 승차권을 반환하며 고객화장실 이용후 화장실 앞 계단을 내려오다가 넘어졌다고 함(오른쪽 팔 뼈에 금이감),경상
대구본부 ,경산관리역,경부선,청도역,16,4,13,10 ,40,수,역,화장실,청도역 고객화장실,여,68,무,#1210열차 청도역 하차후 고객화장실(여자)을 이용하다가 넘어짐(왼손 손등 타박상),경상
대구본부,동대구관리역,경부선,동대구역,16,4,20,9 ,55,수,역,E/S,"7,8번 승강장 E/S 올라오는곳",남,76,무,#117열차 동대구역 하차후 E/S 올라오던중 바로 앞에 있던 고객이 넘어지면서 뒤에 있던 고객(안옥근)이 넘어짐(왼쪽 팔꿈치 찰과상 및 머리 어지러움을 호소),경상
대구본부,대구열차승무사업소,경부선,천안역,16,4,22,13 ,17,금,새마을,객실,5호차 객실 통로,여,82,무,"#1006열차 구미역에서 승차하여 5호차 3D호석으로 이동하던중 열차가 출발하다가 급정차하여 뒤로 넘어짐(뒤쪽 머리, 꼬리뼈, 손목, 손가락 찰과상)",경상
대구본부,대구관리역,경부선,대구역,16,4,22,18 ,25,금,역,이동통로,콘코스,여,70,무,#1215열차 대구역 하차후 대구역 콘코스 위에서 현지증으로 앞으로 넘어짐(아래턱부분 약 3cm 찍어짐),경상
대구본부,경산관리역,경부선,경산역,16,4,22,18 ,32,금,역,맞이방,화장실 앞 맞이방,여,60,무,경산역 고객화장실 앞 맞이방에서 다른 고객의 케리어에 걸려 넘어짐,경상
대구본부,동대구관리역,경부선,서울역,16,4,22,19 ,25,금,역,E/S,13번 승강장 E/S 올라가는곳,남,58,무,#1272열차 승차를 위해 급히 이동하던중 E/S에서 넘어짐(왼쪽 손등 및 우측 무릎 찰과상),경상
대구본부,대구열차승무사업소,동해선,동대구역,16,4,26,16 ,20,화,무궁화,객차승강문,1호차 객차승강문,여,72,무,#1786열차 호계역 정차하여 여객취급 중 1호차 객차승강문 오동작으로 끼임(오른쪽 팔 찰과상),경상
대구본부,대구열차승무사업소,동해선,부전역,16,5,5,10 ,25,목,무궁화,객차화장실,3호차 객차화장실 출입문,여,69,무,#1944열차 3호차 객차화장실 앞에서 입석으로 이용중 화장실 출입문 근처에 손을 대고 있다가 화장실을 이용하는 타 고객에 의해 화장실 출입문에 끼임(왼쪽 검지 찰과상),경상
대구본부,동대구관리역,경부선,동대구역,16,5,8,21 ,48,일,역,선로,6번선 진입중 선로내,남,78,무,#1219열차 6번선 진입중 선로중앙에  사람이 서 있다가 열차가 접근하니 앉으므로 진입하는 열차(#1219)와 부딪힘(두부 찰과상),경상
대구본부,경산관리역,경부선,경산역,16,5,13,15 ,30,금,역,계단,하홈 계단,여,33,무,#1211열차 승차를 위해 하홈 계단을 이용해 내려가던중 밀대로 계단을 청소하고 있어 물끼로 인해 넘어짐(오른쪽 발목 및 왼팔 찰과상),경상
대구본부,포항관리역,동해선,포항역,16,4,15,18 ,35,금,역,타는곳,고속선 승강장,여,80,무,"#813열차 포항역 도착후 승강장에 내려서 잠시 앉아 있다가 일어나면서 뒷거름치면서 열차와 승강장 사이에 빠짐(감기증상으로 병원진료후 귀가함, 어깨 찰과상)",경상
대구본부,대구열차승무사업소,동해선,하양역,16,5,20,21 ,27,금,무궁화,객실출입문,4호차 객실출입문,여,53,무,#1795열차 4호차 객실출입문 손잡이를 잡고 열고 나오던 중 우측 중지 손가락 사이 열상을 입음(우측 중지 찰과상),경상
대구본부,대구열차승무사업소,경부선,대전역,16,5,21,9 ,0,토,무궁화,객차승강문,객차승강문,여,56,무,#1202열차 영동역에 도착하여 승강문 열림취급후 고객 승차 확인후 닫힘취급을 하였으나 고객이 승강문에 끼여 재개폐 취급(양손 손가락 찰과상),경상
대구본부,대구열차승무사업소,경부선,수원역,16,5,21,10 ,10,토,새마을,객실출입문,4호차 객실출입문,여,38,무,#1002열차 대전역을 출발하여 4호차 순회중 4호차 앞쪽 객실 출입문에 끼여 통증호소 및 신고함(오른쪽 팔꿈치 찰과상),경상
대구본부,동대구관리역,경부선,동대구역,16,5,22,19 ,27,일,역,타는곳,12번 승강장,남,70,음주,동대구역에서 #816열차 승차하기 위해 승강장에 앉아 있다가 일어서던중 넘어져 승강장 바닥에 머리를 부딪쳐 찢어짐(머리 2cm 찢어짐),경상
대구본부,구미관리역,경부선,구미역,16,5,23,9 ,3,월,역,맞이방,맞이방 출입문 방화셔터,여,24,무,#1201열차 승차를 위해 구미역 맞이방 출입문 이용중 고장으로 내려져 있는 방화셔터에 부딪힘(머리 찰과상),경상
대구본부,동대구관리역,경부선,동대구역,16,5,25,21 ,13,수,역,E/S,7번 북쪽 E/S 올라오는곳 ,남,"62, 32",무,"동대구역 북쪽 E/S 올라오던중 하동훈 고객의 가방이 넘어지면서 뒤따르던 고객(이정우, 김수진)이 넘어짐(어깨 및 허리 찰과상, 여행용가방 파손 25인치)",경상
대구본부,대구관리역,경부선,대구역,16,5,26,17 ,5,목,역,타는곳,6번 승강장,여,74,무,#1213열차 하차후 6번승강장에서 에스컬레이터를 이용하기 위하여 이동중 옆사람 발에 걸려 승강장 바닥에 넘어짐(가슴통증 호소),경상
대구본부,대구열차승무사업소,경부선,동대구역,16,5,31,7 ,0,화,무궁화,객실,2호차 객실,남,40,무,#1902열차 2호차 10호석 이용중 천정에어컨 응결수가 떨어짐(와이셔츠 왼쪽팔쪽 오염),대물
대구본부,대구열차승무사업소,경부선,영등포역,16,5,31,10 ,50,화,무궁화,객차승강문,5호차 객차승강문,여,55,무,#1204열차 5호차에서 내리면서 승강문 오동작으로 끼임(어깨 찰과상),경상
대구본부,대구열차승무사업소,경부선,대구역,16,6,3,17 ,30,금,새마을,객실출입문,6호차 객실출입문,남,72,무,#1011열차 6호차 이용중 객실출입문에 기대어 있다가 오른쪽 팔이 쓸림(오른쪽 팔 찰과상),경상
대구본부,대구열차승무사업소,경부선,동대구역,16,6,5,13 ,10,일,무궁화,객실출입문,3호차 객실출입문,여,80,무,#1906열차 3호차 2호석 이용을 위해 청도역에서 승차후 자리로 이동중 자동문에 이마를 부딪힘(이마 찰과상),경상
대구본부,경산관리역,경부선,청도역,16,6,5,18 ,46,일,역,타는곳,상선 타는곳,남,35,무,#1272열차 승차를 위해 상선홈에 대기중 부본선에서 #1912열차 발차중 바람으로 왼쪽 눈에 이물질이 들어가 눈이 충혈되고 불편함 호소(눈이 충혈됨),경상
